ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity
9781787286610,"Continuous Integration, Delivery, and Deployment","Reliable and faster software releases with automating builds, tests, and deployment",Sander Rossel,Packt Publishing,"https://images-na.ssl-images-amazon.com/images/I/51WPAweu5-L._SX404_BO1,204,203,200_.jpg",SE,Testing,2017,en,SE119,1
9781107156302,Modern Robotics,"Mechanics, Planning, and Control","Kevin M. Lynch, Frank C. Park",Cambridge,https://m.media-amazon.com/images/I/41WhXplIf8L._AC_UL640_FMwebp_QL65_.jpg,SE,Robotics,2017,en,SE120,1
9780030105678,Linear Algebra and its Applications,,Gilbert Strang,Brooks Cole Pub Co,"https://images-na.ssl-images-amazon.com/images/I/511MUkxPscL._SX386_BO1,204,203,200_.jpg",SE,Algebra,2006,en,SE121,1
9781788623315,Learning Robotics using Python,"Design, Stimulate, Program, and Protoype an autonomous mobile robot using ROS, OpenCV, PCL, and Python",Lentin Joseph,Packt Publishing,https://m.media-amazon.com/images/I/71AVuif2zCL._AC_UY436_FMwebp_QL65_.jpg,SE,Robotics,2018,en,SE122,1
9780980232776,Introduction to Linear Algebra,,Gilbert Strang,Wellesley Cambridge Pess,https://m.media-amazon.com/images/I/71I+IW3jj4L._AC_UY436_FMwebp_QL65_.jpg,SE,Algebra,2016,en,SE123,1
9781680502718,The Ray Tracer Challenge,A Test-driven guide to your first 3D Renderer,Jamis Buck,The Paragmatic Programmers,"https://images-na.ssl-images-amazon.com/images/I/41anIxhYTOL._SX415_BO1,204,203,200_.jpg",SE,Computer Graphics,2019,en,SE124,1
9780201896831,The Art of Computer Programming Volume 1,Fundamental Algorithms,Donald E. Knuth,Addison-Wesley,https://m.media-amazon.com/images/I/41eCbcQARTL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Science/Programming,1997,en,SE125,1
9780201896848,The Art of Computer Programming Volume 2,Seminumerical Algorithms,Donald E. Knuth,Addison-Wesley,https://m.media-amazon.com/images/I/51LhI5wlKPL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Science/Programming,1997,en,SE126,1
9780201896855,The Art of Computer Programming Volume 3,Sorting and Searching,Donald E. Knuth,Addison-Wesley,https://m.media-amazon.com/images/I/81eZ5mt0TGL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Science/Programming,1997,en,SE127,1
9780201038040,The Art of Computer Programming Volume 4A,Combinatorial Algorithms,Donald E. Knuth,Addison-Wesley,https://m.media-amazon.com/images/I/710l5gyhvYL._AC_UY436_FMwebp_QL65_.jpg,SE,Computer Science/Programming,1997,en,SE128,1
9788131722879,Object -Oriented Analysis and Design with Applications,Third Edition,"Grady Booch, Robert A. Maksimchuk, Michael W. Engle, Bobbi J. Young, Ph.D. Jim Conallen, Kelli A. Houston",Pearson Education,"https://images-na.ssl-images-amazon.com/images/I/51rhU%2BItEwL._SX375_BO1,204,203,200_.jpg",SE,Object oriented software design,2011,en,SE129,1
9781461471370,An Introduction to Statistical Learning,With Application in R,"Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani",Springer,https://m.media-amazon.com/images/I/61hYnLMQ9dL._AC_UY436_FMwebp_QL65_.jpg,SE,Statistics,2017,en,SE130,1
9781523318674,Probability,For the Enthusiastic Beginner,David Morin,CreateSpace,"https://images-na.ssl-images-amazon.com/images/I/41kIZOIrarL._SX346_BO1,204,203,200_.jpg",SE,Probability,2016,en,SE131,1
9780387310732,Pattern Recognition and Machine Learning,,Christopher M. Bishop,Springer,"https://images-na.ssl-images-amazon.com/images/I/61UurYa08%2BL._SX348_BO1,204,203,200_.jpg",SE,Computer Science,2009,en,SE132,1
9781593279561,Bayesian Statistics The Fun Way,"Understanding Statistics and Probability with Star Wars®, Lego®, and Rubber Ducks",Will Kurt,no strach press,https://m.media-amazon.com/images/I/81kzl0mJXIL._AC_UY436_FMwebp_QL65_.jpg,SE,Mathematics/Probability & Statistics,2019,en,SE133,1
9780596515171,Mastering of Programming,Conversations with the Creators of Major Programming Languages,"Fedrico Biancuzzi, Shane Warden",O'REILLY,https://m.media-amazon.com/images/I/91LVcdFRewL._AC_UY436_FMwebp_QL65_.jpg,SE,Software Programming,2009,en,SE134,1
